Loan ID,Issue Date,Borrower ID,State,Loan Amount,Interest Rate,Term (Months),Loan Status,Loan Grade,Loan Intent,Annual Income,Home Ownership,DTI,LTV,Total Payments Received,Recovery Amount
L0216,2022-02-05,B0216,IL,33284,14.4,60,Fully Paid,B,debt consolidation,127537,RENT,0.49,0.58,38076.9,0.0
L0217,2022-10-02,B0217,MI,18602,5.3,36,Charged Off,A,small business,111159,MORTGAGE,0.41,0.65,7046.14,4694.51
L0218,2023-11-23,B0218,IL,38784,10.7,60,Fully Paid,E,credit card,97914,OWN,0.27,0.72,42933.89,0.0
L0219,2022-11-19,B0219,FL,24265,5.9,36,Fully Paid,A,small business,80357,RENT,0.28,0.51,25696.64,0.0
L0220,2022-04-05,B0220,IL,26931,5.7,36,Charged Off,C,small business,116908,RENT,0.35,0.61,8489.47,8648.65
L0221,2023-08-13,B0221,FL,29841,10.5,60,Fully Paid,D,credit card,140335,MORTGAGE,0.37,0.68,32974.3,0.0
L0222,2022-04-15,B0222,PA,30192,10.5,60,Fully Paid,A,other,68437,RENT,0.3,0.63,33362.16,0.0
L0223,2023-11-12,B0223,FL,16585,20.7,36,Fully Paid,F,other,65503,RENT,0.36,0.56,20018.1,0.0
L0224,2023-01-20,B0224,TX,26559,24.5,60,Current,E,other,126282,OWN,0.11,0.83,10442.84,0.0
L0225,2021-02-07,B0225,NC,34742,12.4,60,Fully Paid,C,home improvement,123459,RENT,0.27,0.87,39050.01,0.0
L0226,2021-08-18,B0226,TX,5133,13.6,60,Current,B,other,105403,MORTGAGE,0.21,0.62,722.0,0.0
L0227,2022-07-17,B0227,NC,15663,21.9,60,Current,A,credit card,71258,OWN,0.15,0.85,2433.83,0.0
L0228,2022-03-14,B0228,MI,22754,10.4,36,Current,D,home improvement,63724,MORTGAGE,0.14,0.67,6475.12,0.0
L0229,2021-01-27,B0229,PA,4972,8.1,60,Current,A,other,94286,OWN,0.34,0.73,633.66,0.0
L0230,2021-08-14,B0230,NC,6295,22.1,36,Fully Paid,D,home improvement,104842,OWN,0.31,0.89,7686.2,0.0
L0231,2023-03-09,B0231,NC,30125,5.9,36,Fully Paid,E,credit card,134927,RENT,0.2,0.84,31902.38,0.0
L0232,2021-10-11,B0232,NY,10903,17.4,36,Current,A,other,44908,RENT,0.29,0.86,2043.7,0.0
L0233,2023-05-29,B0233,CA,4020,16.2,36,Fully Paid,E,debt consolidation,122617,RENT,0.3,0.56,4671.24,0.0
L0234,2023-08-18,B0234,CA,21420,11.9,60,Fully Paid,A,credit card,80626,MORTGAGE,0.18,0.53,23968.98,0.0
L0235,2022-03-29,B0235,NY,22452,11.3,60,Fully Paid,F,small business,67228,RENT,0.36,0.9,24989.08,0.0
L0236,2023-10-17,B0236,IL,39001,20.4,36,Charged Off,A,small business,53386,RENT,0.41,0.67,7661.31,15157.1
L0237,2023-03-27,B0237,NY,10516,6.7,36,Fully Paid,D,credit card,76754,OWN,0.42,0.63,11220.57,0.0
L0238,2022-10-21,B0238,NC,3396,9.7,36,Fully Paid,B,small business,140942,RENT,0.34,0.83,3725.41,0.0
L0239,2022-07-01,B0239,NC,19546,19.6,36,Current,E,credit card,58302,RENT,0.3,0.88,2381.36,0.0
L0240,2023-12-09,B0240,NY,20129,16.0,60,Current,C,debt consolidation,90815,RENT,0.12,0.89,2865.01,0.0
L0241,2021-01-17,B0241,NY,2591,7.6,36,Fully Paid,A,credit card,114748,RENT,0.22,0.64,2787.92,0.0
L0242,2021-06-07,B0242,IL,12303,22.6,60,Fully Paid,C,other,93344,OWN,0.14,0.88,15083.48,0.0
L0243,2022-04-22,B0243,TX,31561,12.9,36,Current,B,other,65618,RENT,0.49,0.52,12777.42,0.0
L0244,2023-12-06,B0244,PA,7183,21.6,36,In Grace Period,D,home improvement,141603,OWN,0.15,0.52,0.0,0.0
L0245,2022-06-02,B0245,OH,27572,20.8,36,Current,F,small business,106234,MORTGAGE,0.16,0.78,3453.07,0.0
L0246,2021-04-09,B0246,NC,35080,17.5,36,Fully Paid,B,small business,91114,RENT,0.46,0.53,41219.0,0.0
L0247,2023-11-27,B0247,PA,21695,14.9,60,Fully Paid,B,credit card,147652,RENT,0.48,0.65,24927.56,0.0
L0248,2021-10-07,B0248,NY,8314,24.6,60,Charged Off,A,small business,100130,RENT,0.41,0.8,902.38,4096.3
L0249,2022-05-12,B0249,IL,20623,7.9,60,Current,C,other,55525,OWN,0.1,0.65,6871.78,0.0
L0250,2021-10-29,B0250,FL,3139,19.5,36,Fully Paid,B,debt consolidation,109818,RENT,0.1,0.58,3751.1,0.0
L0251,2021-06-30,B0251,IL,32290,8.8,36,Fully Paid,B,credit card,144589,RENT,0.25,0.63,35131.52,0.0
L0252,2022-08-30,B0252,GA,19088,11.8,60,Current,A,small business,44334,MORTGAGE,0.16,0.71,9337.7,0.0
L0253,2022-12-01,B0253,GA,34130,11.2,60,Fully Paid,B,other,124715,OWN,0.11,0.71,37952.56,0.0
L0254,2023-09-20,B0254,PA,33088,23.9,36,Fully Paid,G,home improvement,92767,OWN,0.29,0.85,40996.03,0.0
L0255,2021-07-10,B0255,CA,27292,24.3,36,Fully Paid,B,small business,36644,MORTGAGE,0.48,0.84,33923.96,0.0
L0256,2021-09-10,B0256,GA,21670,8.7,60,Fully Paid,C,debt consolidation,131154,OWN,0.23,0.71,23555.29,0.0
L0257,2023-09-08,B0257,GA,4738,5.4,36,Fully Paid,D,debt consolidation,143237,RENT,0.36,0.88,4993.85,0.0
L0258,2023-07-17,B0258,TX,3469,19.4,36,Current,D,small business,62933,RENT,0.36,0.55,690.49,0.0
L0259,2021-05-08,B0259,FL,23534,13.4,60,Fully Paid,B,small business,73469,MORTGAGE,0.2,0.61,26687.56,0.0
L0260,2021-01-18,B0260,TX,10017,6.8,36,Fully Paid,C,other,63687,OWN,0.36,0.87,10698.16,0.0
L0261,2022-07-20,B0261,FL,3808,18.7,60,Fully Paid,E,small business,136609,OWN,0.18,0.67,4520.1,0.0
L0262,2022-07-24,B0262,MI,13713,15.9,36,Fully Paid,A,home improvement,82656,OWN,0.15,0.94,15893.37,0.0
L0263,2022-11-17,B0263,OH,3719,24.6,60,Fully Paid,B,other,47375,MORTGAGE,0.38,0.71,4633.87,0.0
L0264,2022-09-18,B0264,NC,23890,9.5,36,Fully Paid,A,credit card,144019,RENT,0.15,0.86,26159.55,0.0
L0265,2023-05-04,B0265,GA,12700,13.1,60,Current,B,home improvement,95206,MORTGAGE,0.5,0.68,1313.12,0.0
L0266,2023-08-20,B0266,NC,37509,15.9,60,Fully Paid,B,other,126462,RENT,0.17,0.69,43472.93,0.0
L0267,2021-06-04,B0267,GA,37766,20.8,60,Fully Paid,D,other,66607,MORTGAGE,0.34,0.67,45621.33,0.0
L0268,2022-05-05,B0268,TX,27705,16.0,60,Fully Paid,A,debt consolidation,113178,RENT,0.26,0.82,32137.8,0.0
L0269,2023-02-24,B0269,OH,19787,17.3,36,Fully Paid,C,other,53993,OWN,0.15,0.75,23210.15,0.0
L0270,2021-09-03,B0270,TX,27588,9.5,36,Charged Off,C,home improvement,74386,OWN,0.11,0.92,7479.55,6127.76
L0271,2023-11-29,B0271,TX,27123,21.9,60,Fully Paid,C,small business,76287,OWN,0.35,0.61,33062.94,0.0
L0272,2023-01-29,B0272,FL,34062,13.6,36,Charged Off,D,home improvement,116724,MORTGAGE,0.42,0.55,12667.87,12334.49
L0273,2022-06-22,B0273,CA,11177,7.8,36,Fully Paid,B,credit card,128132,MORTGAGE,0.44,0.68,12048.81,0.0
L0274,2023-07-10,B0274,IL,22727,18.3,36,Current,F,other,123308,MORTGAGE,0.29,0.78,9155.07,0.0
L0275,2022-02-12,B0275,PA,31220,9.3,36,Fully Paid,C,other,126393,OWN,0.41,0.89,34123.46,0.0
L0276,2022-06-09,B0276,NC,10882,7.0,36,Current,C,other,106312,RENT,0.37,0.66,3592.5,0.0
L0277,2023-04-08,B0277,MI,2136,22.2,60,Fully Paid,E,other,128371,OWN,0.39,0.79,2610.19,0.0
L0278,2023-06-22,B0278,GA,35832,14.2,60,Fully Paid,B,debt consolidation,105324,OWN,0.3,0.66,40920.14,0.0
L0279,2021-02-05,B0279,TX,32966,20.0,60,Current,A,debt consolidation,101196,RENT,0.35,0.78,6322.07,0.0
L0280,2022-11-16,B0280,CA,8009,10.8,60,Current,D,small business,100014,RENT,0.42,0.9,2353.41,0.0
L0281,2021-01-20,B0281,TX,13987,20.7,36,Fully Paid,C,other,38210,RENT,0.26,0.6,16882.31,0.0
L0282,2021-11-17,B0282,OH,38311,7.2,36,Fully Paid,F,credit card,40922,RENT,0.42,0.68,41069.39,0.0
L0283,2022-05-27,B0283,FL,32575,12.1,60,Fully Paid,G,small business,66289,OWN,0.34,0.95,36516.57,0.0
L0284,2022-02-04,B0284,MI,2007,24.6,36,Current,B,other,63340,MORTGAGE,0.17,0.89,182.76,0.0
L0285,2022-10-16,B0285,IL,6445,20.9,36,Fully Paid,B,debt consolidation,69850,OWN,0.11,0.75,7792.0,0.0
L0286,2023-08-30,B0286,OH,11706,14.9,60,Fully Paid,B,credit card,86984,RENT,0.25,0.73,13450.19,0.0
L0287,2022-04-16,B0287,NY,30257,11.8,36,Current,B,small business,133699,MORTGAGE,0.32,0.63,10757.13,0.0
L0288,2023-04-14,B0288,MI,22736,22.4,60,Charged Off,E,credit card,143711,MORTGAGE,0.44,0.73,7219.33,8265.96
L0289,2022-12-28,B0289,TX,14281,15.9,60,Current,D,other,114178,OWN,0.15,0.88,6915.78,0.0
L0290,2023-05-04,B0290,OH,2435,20.2,36,Current,C,home improvement,41094,OWN,0.42,0.81,407.08,0.0
L0291,2021-02-20,B0291,IL,34339,20.1,36,Current,A,credit card,117959,OWN,0.45,0.63,2002.15,0.0
L0292,2022-07-29,B0292,CA,36150,5.4,60,Fully Paid,B,credit card,63418,MORTGAGE,0.16,0.59,38102.1,0.0
L0293,2021-05-30,B0293,CA,26821,7.5,60,Fully Paid,B,debt consolidation,35741,MORTGAGE,0.44,0.62,28832.57,0.0
L0294,2021-11-10,B0294,NC,27660,18.2,36,Current,E,other,141585,MORTGAGE,0.5,0.58,8174.19,0.0
L0295,2022-07-24,B0295,IL,6084,8.2,60,Fully Paid,A,credit card,102374,RENT,0.39,0.54,6582.89,0.0
L0296,2021-11-01,B0296,CA,17661,10.1,60,Charged Off,E,other,147275,RENT,0.41,0.69,5510.89,3016.27
L0297,2022-11-13,B0297,OH,14507,23.9,60,Fully Paid,D,debt consolidation,98798,OWN,0.5,0.55,17974.17,0.0
L0298,2023-04-18,B0298,NC,8059,16.2,36,Fully Paid,D,other,146026,MORTGAGE,0.34,0.58,9364.56,0.0
L0299,2023-12-14,B0299,CA,19271,20.0,60,Charged Off,B,debt consolidation,100532,OWN,0.22,0.75,6496.68,2294.8
L0300,2023-09-30,B0300,MI,8491,16.2,36,Current,D,debt consolidation,140130,MORTGAGE,0.44,0.57,1164.82,0.0
L0301,2022-03-20,B0301,FL,15859,16.1,60,Fully Paid,C,small business,52164,OWN,0.35,0.53,18412.3,0.0
L0302,2022-09-05,B0302,NY,9073,6.9,36,Current,D,other,65595,RENT,0.33,0.64,1522.35,0.0
L0303,2023-09-20,B0303,IL,10077,11.9,60,Current,B,home improvement,60257,MORTGAGE,0.2,0.6,2828.27,0.0
L0304,2021-09-21,B0304,OH,21953,10.6,36,Fully Paid,C,small business,44211,RENT,0.4,0.73,24280.02,0.0
L0305,2023-12-13,B0305,GA,12383,12.8,36,Fully Paid,D,debt consolidation,125989,MORTGAGE,0.13,0.55,13968.02,0.0
L0306,2023-10-01,B0306,TX,3353,21.0,36,Current,A,home improvement,35232,OWN,0.47,0.84,666.48,0.0
L0307,2021-01-05,B0307,OH,24821,12.4,60,Charged Off,B,credit card,97753,MORTGAGE,0.23,0.91,8889.73,5061.28
L0308,2023-02-13,B0308,CA,38567,14.0,60,Fully Paid,G,credit card,82691,RENT,0.15,0.83,43966.38,0.0
L0309,2023-05-27,B0309,OH,25860,12.9,60,Charged Off,A,small business,119765,MORTGAGE,0.28,0.74,6261.43,5898.18
L0310,2023-09-19,B0310,GA,22195,6.9,36,Charged Off,B,home improvement,109768,OWN,0.12,0.89,7543.49,5682.73
L0311,2023-06-03,B0311,TX,12939,13.8,60,Fully Paid,B,other,55613,MORTGAGE,0.37,0.81,14724.58,0.0
L0312,2021-02-16,B0312,NC,26338,8.9,36,Current,D,home improvement,44026,RENT,0.46,0.5,8198.46,0.0
L0313,2023-05-17,B0313,CA,22730,8.7,60,Fully Paid,A,small business,83535,OWN,0.43,0.68,24707.51,0.0
L0314,2023-04-03,B0314,PA,22427,6.9,36,Fully Paid,C,other,124090,RENT,0.15,0.88,23974.46,0.0
L0315,2023-07-25,B0315,CA,36196,12.1,36,Current,A,other,60908,MORTGAGE,0.15,0.66,14402.05,0.0
L0316,2022-10-18,B0316,NY,28083,20.1,36,Charged Off,A,credit card,82113,RENT,0.43,0.52,5611.04,8802.11
L0317,2021-09-26,B0317,PA,22510,10.5,60,Current,D,home improvement,49610,MORTGAGE,0.47,0.84,9547.33,0.0
L0318,2022-01-05,B0318,NY,8813,11.2,60,Fully Paid,B,other,76646,OWN,0.28,0.86,9800.06,0.0
L0319,2022-09-28,B0319,GA,32598,17.9,60,Fully Paid,G,small business,135141,RENT,0.3,0.57,38433.04,0.0
L0320,2022-10-19,B0320,IL,28570,8.9,36,Fully Paid,A,credit card,93185,RENT,0.23,0.74,31112.73,0.0
L0321,2021-04-30,B0321,TX,28082,22.9,36,Fully Paid,B,other,102567,MORTGAGE,0.46,0.59,34512.78,0.0
L0322,2023-04-11,B0322,FL,30241,15.4,60,Fully Paid,A,home improvement,77574,RENT,0.36,0.82,34898.11,0.0
L0323,2023-12-18,B0323,NC,31678,14.0,60,Current,B,credit card,121051,RENT,0.22,0.62,5497.96,0.0
L0324,2023-01-11,B0324,FL,12745,16.2,60,Fully Paid,G,home improvement,132020,OWN,0.22,0.64,14809.69,0.0
L0325,2021-04-27,B0325,MI,27029,8.3,36,Current,F,home improvement,66182,MORTGAGE,0.46,0.88,7993.68,0.0
L0326,2023-03-02,B0326,MI,14025,17.3,36,Fully Paid,A,home improvement,146136,MORTGAGE,0.11,0.71,16451.32,0.0
L0327,2023-10-10,B0327,GA,37124,12.3,36,Current,C,credit card,30570,OWN,0.23,0.8,5431.36,0.0
L0328,2023-12-18,B0328,IL,15288,22.9,36,Fully Paid,D,other,127790,OWN,0.32,0.68,18788.95,0.0
L0329,2022-09-26,B0329,MI,24650,8.4,36,Fully Paid,A,debt consolidation,49288,MORTGAGE,0.16,0.63,26720.6,0.0
L0330,2022-05-28,B0330,CA,7540,15.1,60,Fully Paid,A,other,108824,OWN,0.14,0.78,8678.54,0.0
L0331,2023-03-13,B0331,OH,33232,17.0,36,Fully Paid,F,credit card,59877,OWN,0.43,0.57,38881.44,0.0
L0332,2022-07-14,B0332,NY,17422,5.7,36,Charged Off,G,debt consolidation,114425,OWN,0.46,0.67,4227.59,6267.26
L0333,2022-05-03,B0333,MI,4342,12.3,36,Fully Paid,G,debt consolidation,30917,MORTGAGE,0.43,0.59,4876.07,0.0
L0334,2023-06-16,B0334,GA,36612,19.7,36,Current,E,debt consolidation,105602,OWN,0.46,0.81,7072.66,0.0
L0335,2022-12-05,B0335,NY,11396,21.4,36,Late (31-120 days),D,small business,125040,RENT,0.32,0.92,0.0,0.0
L0336,2022-08-04,B0336,CA,18482,11.3,60,Current,B,credit card,94575,RENT,0.42,0.95,3142.25,0.0
L0337,2023-03-01,B0337,IL,24411,21.0,36,Fully Paid,A,small business,102518,MORTGAGE,0.25,0.7,29537.31,0.0
L0338,2023-05-11,B0338,TX,14261,24.4,36,Charged Off,A,debt consolidation,69104,OWN,0.37,0.61,5563.15,3087.26
L0339,2021-09-04,B0339,FL,4093,22.1,36,Fully Paid,D,small business,48062,RENT,0.5,0.7,4997.55,0.0
L0340,2021-06-03,B0340,CA,12722,7.4,60,Fully Paid,E,small business,46999,MORTGAGE,0.19,0.88,13663.43,0.0
L0341,2023-09-24,B0341,NC,23042,19.8,60,Charged Off,E,credit card,91845,RENT,0.26,0.59,3410.73,2992.03
L0342,2022-11-28,B0342,PA,29087,11.4,60,Current,F,home improvement,39941,OWN,0.29,0.93,11759.78,0.0
L0343,2023-12-29,B0343,GA,33347,24.8,36,Fully Paid,E,small business,91169,MORTGAGE,0.16,0.65,41617.06,0.0
L0344,2023-12-07,B0344,FL,34756,14.7,60,Fully Paid,G,small business,53470,RENT,0.13,0.94,39865.13,0.0
L0345,2023-10-06,B0345,NC,17335,7.4,36,Fully Paid,A,debt consolidation,140684,MORTGAGE,0.43,0.88,18617.79,0.0
L0346,2021-04-04,B0346,TX,29602,19.5,36,Fully Paid,D,debt consolidation,89821,RENT,0.49,0.86,35374.39,0.0
L0347,2023-08-16,B0347,NC,35450,11.5,60,Fully Paid,C,debt consolidation,116669,RENT,0.26,0.64,39526.75,0.0
L0348,2023-10-09,B0348,IL,33196,24.9,36,Late (31-120 days),B,other,148193,OWN,0.14,0.5,0.0,0.0
L0349,2022-03-29,B0349,PA,6626,24.6,36,Charged Off,G,small business,74435,OWN,0.13,0.67,2618.92,2120.33
L0350,2023-07-01,B0350,NY,8424,18.1,36,Charged Off,F,debt consolidation,34529,RENT,0.46,0.64,892.7,1919.6
L0351,2021-08-06,B0351,FL,13857,7.6,60,Fully Paid,A,credit card,113055,MORTGAGE,0.29,0.52,14910.13,0.0
L0352,2022-04-19,B0352,PA,20982,18.7,36,Current,A,other,42192,MORTGAGE,0.23,0.73,7649.25,0.0
L0353,2022-03-08,B0353,OH,12425,6.9,36,Charged Off,D,home improvement,104102,OWN,0.29,0.68,2185.23,5996.91
L0354,2021-12-07,B0354,CA,2980,5.6,60,Charged Off,C,small business,102762,RENT,0.23,0.79,334.2,420.5
L0355,2022-07-05,B0355,OH,27431,21.5,36,Fully Paid,F,small business,133466,OWN,0.3,0.78,33328.66,0.0
L0356,2021-12-23,B0356,CA,20440,9.2,36,Fully Paid,A,credit card,144894,RENT,0.44,0.55,22320.48,0.0
L0357,2021-01-23,B0357,IL,18175,12.6,60,Fully Paid,A,home improvement,116795,RENT,0.34,0.94,20465.05,0.0
L0358,2022-06-06,B0358,PA,27385,24.5,36,Current,B,home improvement,64087,OWN,0.38,0.58,6334.16,0.0
L0359,2023-03-13,B0359,TX,39158,11.7,36,Current,A,other,96677,MORTGAGE,0.25,0.7,18437.47,0.0
L0360,2023-02-01,B0360,MI,24019,10.9,36,Current,A,small business,34627,OWN,0.4,0.72,1328.11,0.0
L0361,2022-03-18,B0361,NC,19639,23.4,36,Fully Paid,F,debt consolidation,86541,RENT,0.37,0.87,24234.53,0.0
L0362,2023-02-08,B0362,MI,20994,7.2,36,Fully Paid,B,credit card,142805,OWN,0.15,0.54,22505.57,0.0
L0363,2023-10-13,B0363,PA,35375,20.2,60,Fully Paid,B,credit card,98226,MORTGAGE,0.33,0.69,42520.75,0.0
L0364,2022-05-31,B0364,OH,22563,24.8,60,Fully Paid,A,credit card,135627,MORTGAGE,0.2,0.78,28158.62,0.0
L0365,2023-11-06,B0365,MI,6776,23.0,60,Fully Paid,B,credit card,33255,RENT,0.42,0.6,8334.48,0.0
L0366,2023-03-03,B0366,GA,37444,18.0,60,Current,E,debt consolidation,87433,OWN,0.27,0.78,11777.96,0.0
L0367,2021-12-02,B0367,MI,4380,11.3,36,Fully Paid,C,debt consolidation,35213,MORTGAGE,0.5,0.92,4874.94,0.0
L0368,2021-09-15,B0368,CA,9711,10.1,36,Current,D,other,132412,OWN,0.14,0.95,2676.63,0.0
L0369,2022-05-12,B0369,GA,9782,21.4,36,Fully Paid,B,small business,49404,MORTGAGE,0.41,0.51,11875.35,0.0
L0370,2023-06-15,B0370,FL,18434,22.6,36,Fully Paid,B,debt consolidation,146545,RENT,0.37,0.61,22600.08,0.0
L0371,2021-06-09,B0371,MI,21017,15.5,36,Fully Paid,C,other,55380,RENT,0.41,0.64,24274.64,0.0
L0372,2023-05-02,B0372,GA,31707,9.9,60,Charged Off,B,home improvement,121056,OWN,0.22,0.68,11478.42,11714.89
L0373,2022-11-21,B0373,PA,18343,7.3,60,Fully Paid,E,small business,49173,RENT,0.3,0.61,19682.04,0.0
L0374,2022-01-15,B0374,NC,39827,6.7,36,Current,B,debt consolidation,83027,MORTGAGE,0.42,0.59,3496.84,0.0
L0375,2023-08-15,B0375,FL,6655,19.4,36,Fully Paid,D,home improvement,53989,RENT,0.19,0.93,7946.07,0.0
L0376,2022-11-22,B0376,TX,16251,13.4,36,Charged Off,A,other,138106,MORTGAGE,0.19,0.91,4947.74,1644.69
L0377,2023-12-03,B0377,TX,1526,23.1,60,Current,D,debt consolidation,54519,MORTGAGE,0.32,0.52,543.33,0.0
L0378,2021-10-12,B0378,IL,4224,19.8,36,Fully Paid,F,debt consolidation,52439,RENT,0.31,0.65,5060.35,0.0
L0379,2022-02-01,B0379,MI,12536,8.8,36,Current,C,home improvement,148570,MORTGAGE,0.21,0.68,4401.21,0.0
L0380,2021-01-12,B0380,NC,29541,17.3,36,Fully Paid,C,debt consolidation,106949,MORTGAGE,0.22,0.61,34651.59,0.0
L0381,2022-05-14,B0381,NY,14547,13.7,60,Charged Off,G,credit card,44995,OWN,0.21,0.78,5567.14,1935.32
L0382,2023-01-24,B0382,GA,35531,16.5,36,Fully Paid,C,debt consolidation,53559,OWN,0.41,0.79,41393.62,0.0
L0383,2021-02-04,B0383,FL,9712,19.8,60,Fully Paid,B,small business,140887,OWN,0.36,0.88,11634.98,0.0
L0384,2022-12-28,B0384,PA,39565,21.1,60,Current,B,home improvement,119049,RENT,0.43,0.83,16632.71,0.0
L0385,2023-04-29,B0385,MI,10208,21.9,60,Current,D,small business,35021,OWN,0.49,0.74,703.21,0.0
L0386,2021-03-31,B0386,PA,6109,10.1,60,Fully Paid,D,other,128000,MORTGAGE,0.29,0.79,6726.01,0.0
L0387,2023-02-15,B0387,NY,36201,5.6,60,Current,B,small business,51119,RENT,0.13,0.62,9484.2,0.0
L0388,2022-08-28,B0388,IL,17967,19.8,60,Fully Paid,B,credit card,81539,RENT,0.12,0.77,21524.47,0.0
L0389,2023-08-28,B0389,NY,30759,7.1,36,Fully Paid,G,credit card,124835,RENT,0.22,0.72,32942.89,0.0
L0390,2023-10-19,B0390,CA,21172,11.3,36,Current,A,small business,69350,RENT,0.47,0.56,4850.06,0.0
L0391,2022-02-22,B0391,OH,37935,5.1,36,Fully Paid,B,other,76223,MORTGAGE,0.31,0.61,39869.68,0.0
L0392,2021-04-25,B0392,FL,27589,18.6,60,Fully Paid,A,debt consolidation,55517,MORTGAGE,0.21,0.63,32720.55,0.0
L0393,2022-09-09,B0393,OH,31015,8.3,36,Current,E,credit card,108653,OWN,0.26,0.92,5879.4,0.0
L0394,2023-04-06,B0394,NY,30009,18.1,60,Fully Paid,A,small business,52250,RENT,0.34,0.6,35440.63,0.0
L0395,2022-02-17,B0395,IL,18773,24.8,60,Current,D,small business,114486,OWN,0.36,0.63,4751.47,0.0
L0396,2022-12-30,B0396,IL,27143,6.5,60,Fully Paid,A,small business,112895,MORTGAGE,0.16,0.67,28907.3,0.0
L0397,2023-10-18,B0397,TX,7154,6.5,36,Fully Paid,D,debt consolidation,119132,RENT,0.49,0.8,7619.01,0.0
L0398,2023-01-31,B0398,MI,22804,11.8,60,Fully Paid,E,home improvement,121066,MORTGAGE,0.32,0.55,25494.87,0.0
L0399,2022-11-07,B0399,TX,21581,22.3,60,Current,B,other,96798,OWN,0.15,0.93,4810.13,0.0
L0400,2022-04-02,B0400,FL,31087,9.3,36,Current,C,home improvement,84199,MORTGAGE,0.46,0.89,7602.33,0.0
L0401,2023-07-09,B0401,FL,33981,12.2,36,Fully Paid,B,other,89546,RENT,0.13,0.76,38126.68,0.0
L0402,2021-07-11,B0402,FL,4762,6.4,60,Fully Paid,B,other,135686,RENT,0.46,0.8,5066.77,0.0
L0403,2023-01-09,B0403,PA,10768,20.3,60,Charged Off,E,small business,118151,OWN,0.5,0.51,4240.21,804.81
L0404,2023-09-05,B0404,TX,39559,13.2,36,Fully Paid,B,credit card,33327,RENT,0.38,0.65,44780.79,0.0
L0405,2023-10-06,B0405,PA,9783,20.2,36,Charged Off,D,small business,59768,MORTGAGE,0.41,0.86,1238.43,3866.9
L0406,2021-04-06,B0406,OH,30781,23.1,36,Fully Paid,A,debt consolidation,94418,MORTGAGE,0.23,0.53,37891.41,0.0
L0407,2022-10-25,B0407,MI,31811,9.7,60,Current,A,other,124386,MORTGAGE,0.48,0.63,14792.24,0.0
L0408,2021-02-06,B0408,NY,36488,21.1,36,Fully Paid,B,credit card,146947,MORTGAGE,0.31,0.76,44186.97,0.0
L0409,2021-10-06,B0409,GA,9905,6.2,36,Charged Off,C,other,72788,OWN,0.39,0.62,2417.52,3932.05
L0410,2021-08-05,B0410,TX,10127,23.0,36,Current,C,other,145945,MORTGAGE,0.47,0.92,3348.84,0.0
L0411,2023-05-17,B0411,GA,23431,18.0,60,Fully Paid,D,small business,112384,OWN,0.49,0.56,27648.58,0.0
L0412,2023-05-23,B0412,IL,7368,22.5,36,Fully Paid,A,credit card,76830,MORTGAGE,0.43,0.86,9025.8,0.0
L0413,2021-03-03,B0413,TX,28424,5.0,36,Current,A,credit card,82446,OWN,0.22,0.73,12039.9,0.0
L0414,2022-08-19,B0414,OH,19333,8.4,36,Current,D,other,135078,MORTGAGE,0.49,0.84,4102.62,0.0
L0415,2022-12-30,B0415,TX,24116,12.8,36,Fully Paid,E,credit card,45160,MORTGAGE,0.35,0.64,27202.85,0.0
L0416,2022-02-01,B0416,PA,16525,12.6,36,Fully Paid,A,credit card,86583,OWN,0.47,0.73,18607.15,0.0
L0417,2022-11-30,B0417,MI,24398,9.5,60,Current,C,small business,63998,RENT,0.37,0.89,5945.55,0.0
L0418,2023-11-09,B0418,NY,33857,12.6,60,Fully Paid,B,home improvement,57230,RENT,0.22,0.71,38122.98,0.0
L0419,2021-06-26,B0419,NC,11361,7.6,60,Current,E,debt consolidation,39076,RENT,0.25,0.66,2661.69,0.0
L0420,2022-01-31,B0420,NY,17369,13.3,36,Fully Paid,E,home improvement,99341,OWN,0.32,0.74,19679.08,0.0
L0421,2022-03-21,B0421,NY,4041,21.0,60,Charged Off,E,credit card,61085,RENT,0.42,0.82,858.39,1009.0
L0422,2021-03-17,B0422,IL,1105,14.6,60,Charged Off,D,other,85571,RENT,0.23,0.7,417.31,388.04
L0423,2021-09-22,B0423,OH,10078,5.4,60,In Grace Period,B,debt consolidation,44715,OWN,0.33,0.92,0.0,0.0
L0424,2022-03-31,B0424,GA,26003,13.4,36,Fully Paid,E,debt consolidation,35750,RENT,0.24,0.63,29487.4,0.0
L0425,2022-12-19,B0425,OH,7090,5.5,36,Charged Off,C,other,143931,RENT,0.43,0.71,2472.13,1824.75
L0426,2023-01-05,B0426,NC,39850,24.3,60,Fully Paid,A,debt consolidation,108768,RENT,0.29,0.84,49533.55,0.0
L0427,2023-05-01,B0427,IL,2925,7.5,60,Current,C,other,148544,OWN,0.13,0.81,289.72,0.0
L0428,2021-05-24,B0428,MI,19440,19.2,36,Fully Paid,F,debt consolidation,65903,OWN,0.17,0.89,23172.48,0.0
L0429,2023-06-04,B0429,NY,27015,24.5,36,Fully Paid,F,home improvement,102489,RENT,0.12,0.95,33633.68,0.0
L0430,2023-12-29,B0430,PA,34320,21.5,60,Charged Off,A,debt consolidation,62093,RENT,0.3,0.69,4545.24,12356.63
L0431,2022-01-31,B0431,IL,26291,19.0,36,Fully Paid,D,small business,121036,OWN,0.14,0.55,31286.29,0.0
L0432,2023-11-15,B0432,FL,37679,21.8,60,Current,E,other,117954,RENT,0.15,0.51,9138.71,0.0
